,feature,importance
355,"value__fft_coefficient__attr_""imag""__coeff_26",0.002113482745672534
242,"value__fft_coefficient__attr_""real""__coeff_12",0.002070657960423074
615,"value__fft_coefficient__attr_""angle""__coeff_87",0.0020677594435542655
544,"value__fft_coefficient__attr_""angle""__coeff_16",0.002044049278972903
521,"value__fft_coefficient__attr_""abs""__coeff_92",0.002013904229456121
196,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.0020108769307348854
555,"value__fft_coefficient__attr_""angle""__coeff_27",0.0020094058098333056
460,"value__fft_coefficient__attr_""abs""__coeff_31",0.001986226260402648
203,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0019804013698264977
169,value__ar_coefficient__coeff_10__k_10,0.0019455305169980102
15,value__root_mean_square,0.0019224883244732928
416,"value__fft_coefficient__attr_""imag""__coeff_87",0.0019181648384418006
8,value__median,0.001915374543445488
408,"value__fft_coefficient__attr_""imag""__coeff_79",0.0019009420890158599
335,"value__fft_coefficient__attr_""imag""__coeff_6",0.0018987757195651509
601,"value__fft_coefficient__attr_""angle""__coeff_73",0.0018657008793267719
617,"value__fft_coefficient__attr_""angle""__coeff_89",0.0018598698579993507
326,"value__fft_coefficient__attr_""real""__coeff_96",0.0018348354170450553
667,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.0018186128262967101
142,"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",0.0018066852660098306
383,"value__fft_coefficient__attr_""imag""__coeff_54",0.0018022164751540493
445,"value__fft_coefficient__attr_""abs""__coeff_16",0.001746933377983189
256,"value__fft_coefficient__attr_""real""__coeff_26",0.0017312963216028186
117,"value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",0.0017182580323440578
296,"value__fft_coefficient__attr_""real""__coeff_66",0.0017099308036323476
596,"value__fft_coefficient__attr_""angle""__coeff_68",0.0016946272575917441
410,"value__fft_coefficient__attr_""imag""__coeff_81",0.0016671278831604176
224,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.001665625800622355
579,"value__fft_coefficient__attr_""angle""__coeff_51",0.00165242920874357
439,"value__fft_coefficient__attr_""abs""__coeff_10",0.0016455442688821265
106,"value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.0016049677365345138
90,value__index_mass_quantile__q_0.3,0.001599206529039818
660,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.0015375151503455007
589,"value__fft_coefficient__attr_""angle""__coeff_61",0.001536413018288323
162,value__ar_coefficient__coeff_3__k_10,0.0015269835371552836
147,"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0014754346749361012
379,"value__fft_coefficient__attr_""imag""__coeff_50",0.0014067628103415133
661,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",0.0014037658361455469
527,"value__fft_coefficient__attr_""abs""__coeff_98",0.001383170377248427
37,value__time_reversal_asymmetry_statistic__lag_3,0.001366680955507401
306,"value__fft_coefficient__attr_""real""__coeff_76",0.0013430916578394108
241,"value__fft_coefficient__attr_""real""__coeff_11",0.0013285840453937886
376,"value__fft_coefficient__attr_""imag""__coeff_47",0.0013262219346124647
